Specimen,PW,PL,OW,OL,Growth_Stage
LIM 38,0.506481636,0.303810191,0.34295256,0.280720104,a
LIM 12,0.527360622,0.301506825,0.307297133,0.215109973,a
LIM 35,0.671800358,0.358455201,0.39812156,0.218910159,a
LIM 26,0.983737211,0.559480423,0.573781477,0.441162244,b
LIM 9,1.373208559,0.72883867,0.710957782,0.730591332,c
LIM 41,3.207869649,1.950411977,1.821339304,1.508820463,e
LIM 31,3.408906071,NY,1.525041554,1.482469788,e
LIM 29,3.468257479,1.990280813,1.613947497,NA,e
LIM 50,6.997670237,3.952493195,3.16832416,3.305710652,f
LIM 45 E,8.106075742,4.948953159,4.553747477,3.83222644,g
LIM 43 E ,8.850207039,5.469530711,4.286114562,NY,h
